CAP;CODICE;DATA_FINE;DESCR_D;DESCR_I;SIGLA;COM_CODICE
35031;A001;;Abano Terme;Abano Terme;PD;028001
;A002;31/12/1989;;Abbadia Sopra Adda;CO;013700
;A003;31/12/1989;;Abbadia Alpina;TO;001700
26834;A004;;Abbadia Cerreto;Abbadia Cerreto;LO;098001
23821;A005;;Abbadia Lariana;Abbadia Lariana;LC;097001
53021;A006;;Abbadia San Salvatore;Abbadia San Salvatore;SI;052001
09071;A007;;Abbasanta;Abbasanta;OR;095001
65020;A008;;Abbateggio;Abbateggio;PE;068001
;A009;31/12/1989;;Abbazia;FU;701701
20081;A010;;Abbiategrasso;Abbiategrasso;MI;015002
;A011;31/12/1989;;Abbiateguazzone;VA;012700
51021;A012;08/01/2017;Abetone;Abetone;PT;047001
85010;A013;;Abriola;Abriola;PZ;076001
97011;A014;;Acate;Acate;RG;088001
71021;A015;;Accadia;Accadia;FG;071001
12021;A016;;Acceglio;Acceglio;CN;004001
75011;A017;;Accettura;Accettura;MT;077001
67020;A018;;Acciano;Acciano;AQ;066001
02011;A019;;Accumoli;Accumoli;RI;057001
85011;A020;;Acerenza;Acerenza;PZ;076002
;A021;31/12/1989;Ahornach;Acereto;BZ;021700
39010;A022;;Tscherms;Cermes;BZ;021020
84042;A023;;Acerno;Acerno;SA;065001
80011;A024;;Acerra;Acerra;NA;063001
95020;A025;;Aci Bonaccorsi;Aci Bonaccorsi;CT;087001
95021;A026;;Aci Castello;Aci Castello;CT;087002
95022;A027;;Aci Catena;Aci Catena;CT;087003
95024;A028;;Acireale;Acireale;CT;087004
95025;A029;;Aci Sant'Antonio;Aci Sant'Antonio;CT;087005
;A030;31/12/1989;;Acqua;SO;014700
62035;A031;08/01/2017;Acquacanina;Acquacanina;MC;043001
03040;A032;;Acquafondata;Acquafondata;FR;060001
87010;A033;;Acquaformosa;Acquaformosa;CS;078001
25010;A034;;Acquafredda;Acquafredda;BS;017001
61041;A035;;Acqualagna;Acqualagna;PU;041001
;A036;31/12/1989;;Acqualunga;BS;017700
;A037;31/12/1989;;Acqualunga Badona;CR;019700
46011;A038;;Acquanegra Sul Chiese;Acquanegra Sul Chiese;MN;020001
26020;A039;;Acquanegra Cremonese;Acquanegra Cremonese;CR;019001
01021;A040;;Acquapendente;Acquapendente;VT;056001
87020;A041;;Acquappesa;Acquappesa;CS;078002
73040;A042;14/05/2019;Acquarica del Capo;Acquarica del Capo;LE;075001
89832;A043;;Acquaro;Acquaro;VV;102001
63095;A044;;Acquasanta Terme;Acquasanta Terme;AP;044001
05021;A045;;Acquasparta;Acquasparta;TR;055001
;A046;31/12/1989;;Acquate;CO;013701
63075;A047;;Acquaviva Picena;Acquaviva Picena;AP;044002
70021;A048;;Acquaviva Delle Fonti;Acquaviva Delle Fonti;BA;072001
93010;A049;;Acquaviva Platani;Acquaviva Platani;CL;085001
86030;A050;;Acquaviva Collecroce;Acquaviva Collecroce;CB;070001
86080;A051;;Acquaviva d'Isernia;Acquaviva d'Isernia;IS;094001
15011;A052;;Acqui Terme;Acqui Terme;AL;006001
87041;A053;;Acri;Acri;CS;078003
03010;A054;;Acuto;Acuto;FR;060002
70010;A055;;Adelfia;Adelfia;BA;072002
95031;A056;;Adrano;Adrano;CT;087006
24060;A057;;Adrara San Martino;Adrara San Martino;BG;016001
24060;A058;;Adrara San Rocco;Adrara San Rocco;BG;016002
45011;A059;;Adria;Adria;RO;029001
25030;A060;;Adro;Adro;BS;017002
37010;A061;;Affi;Affi;VR;023001
00021;A062;;Affile;Affile;RM;058001
;A063;31/12/1989;;Affori;MI;015700
80021;A064;;Afragola;Afragola;NA;063002
89030;A065;;Africo;Africo;RC;080001
;A066;31/12/1989;;Agaro;NO;003700
29010;A067;;Agazzano;Agazzano;PC;033001
80051;A068;;Agerola;Agerola;NA;063003
07020;A069;;Aggius;Aggius;SS;090001
94011;A070;;Agira;Agira;EN;086001
51031;A071;;Agliana;Agliana;PT;047002
14041;A072;;Agliano Terme;Agliano Terme;AT;005001
;A073;31/12/1989;;Agliate;MI;015701
10011;A074;;Agli�;Agli�;TO;001001
35021;A075;;Agna;Agna;PD;028002
26020;A076;;Agnadello;Agnadello;CR;019002
89040;A077;;Agnana Calabra;Agnana Calabra;RC;080002
;A078;31/12/1989;;Agnellengo;NO;003701
;A079;31/12/1989;;Agnona;VC;002700
86081;A080;;Agnone;Agnone;IS;094002
03040;A081;;Villa Latina;Villa Latina;FR;060088
25071;A082;;Agnosine;Agnosine;BS;017003
32021;A083;;Agordo;Agordo;BL;025001
00020;A084;;Agosta;Agosta;RM;058002
21010;A085;;Agra;Agra;VA;012001
;A086;31/12/1989;;Agrano;NO;003702
20864;A087;;Agrate Brianza;Agrate Brianza;MB;108001
28010;A088;;Agrate Conturbia;Agrate Conturbia;NO;003001
92100;A089;;Agrigento;Agrigento;AG;084001
;A090;31/12/1989;;Agrone;TN;022700
84043;A091;;Agropoli;Agropoli;SA;065002
60020;A092;;Agugliano;Agugliano;AN;042001
36020;A093;;Agugliaro;Agugliaro;VI;024001
11020;A094;;Ayas;Ayas;AO;007007
;A095;31/12/1989;;Aiba;GO;031735
20886;A096;;Aicurzio;Aicurzio;MB;108002
09070;A097;;Aidomaggiore;Aidomaggiore;OR;095002
94010;A098;;Aidone;Aidone;EN;086002
;A099;31/12/1989;;Aidussina;GO;031701
67041;A100;;Aielli;Aielli;AQ;066002
83020;A101;;Aiello del Sabato;Aiello del Sabato;AV;064001
87031;A102;;Aiello Calabro;Aiello Calabro;CS;078004
33041;A103;;Aiello del Friuli;Aiello del Friuli;UD;030001
;A104;31/12/1989;;Aiello in Calabria;CS;078700
87020;A105;;Aieta;Aieta;CS;078005
81010;A106;;Ailano;Ailano;CE;061001
13861;A107;;Ailoche;Ailoche;BI;096001
11010;A108;;Aymavilles;Aymavilles;AO;007008
10060;A109;;Airasca;Airasca;TO;001002
82011;A110;;Airola;Airola;BN;062001
18030;A111;;Airole;Airole;IM;008001
23881;A112;;Airuno;Airuno;LC;097002
12010;A113;;Aisone;Aisone;CN;004002
;A114;31/12/1989;;Aizurro;CO;013702
07020;A115;;Al� dei Sardi;Al� dei Sardi;SS;090002
38061;A116;;Ala;Ala;TN;022001
10070;A117;;Ala di Stura;Ala di Stura;TO;001003
27020;A118;;Alagna;Alagna;PV;018001
13021;A119;;Alagna Valsesia;Alagna Valsesia;VC;002002
65020;A120;;Alanno;Alanno;PE;068002
32031;A121;21/01/2024;Alano di Piave;Alano di Piave;BL;025002
17021;A122;;Alassio;Alassio;SV;009001
03011;A123;;Alatri;Alatri;FR;060003
12051;A124;;Alba;Alba;CN;004003
64011;A125;;Alba Adriatica;Alba Adriatica;TE;067001
09090;A126;;Albagiara;Albagiara;OR;095003
20080;A127;;Albairate;Albairate;MI;015005
84044;A128;;Albanella;Albanella;SA;065003
24061;A129;;Albano Sant'Alessandro;Albano Sant'Alessandro;BG;016003
13030;A130;;Albano Vercellese;Albano Vercellese;VC;002003
85010;A131;;Albano di Lucania;Albano di Lucania;PZ;076003
00041;A132;;Albano Laziale;Albano Laziale;RM;058003
;A133;31/12/1989;;Albanova;CE;061700
23010;A135;;Albaredo Per San Marco;Albaredo Per San Marco;SO;014001
;A136;31/12/1989;;Sant'Andrea di Cavasagra;TV;026705
37041;A137;;Albaredo d'Adige;Albaredo d'Adige;VR;023002
43051;A138;;Albareto;Albareto;PR;034001
12050;A139;;Albaretto Della Torre;Albaretto Della Torre;CN;004004
;A140;31/12/1989;;Albaretto Valle di Macra;CN;004700
;A141;31/12/1989;;Albaro Vescova;TS;032716
;A142;31/12/1989;;Albate;CO;013703
22031;A143;;Albavilla;Albavilla;CO;013003
;A144;31/12/1989;;Albegno;BG;016700
17031;A145;;Albenga;Albenga;SV;009002
15060;A146;;Albera Ligure;Albera Ligure;AL;006002
;A147;31/12/1989;;Triburgo;CR;019822
;A148;31/12/1989;;Alber di Sesana;TS;032717
70011;A149;;Alberobello;Alberobello;BA;072003
71031;A150;;Alberona;Alberona;FG;071002
;A151;31/12/1989;Albeins;Albes;BZ;021701
;A152;31/12/1989;;Albese;CO;013704
22032;A153;;Albese Con Cassano;Albese Con Cassano;CO;013004
36020;A154;;Albettone;Albettone;VI;024002
88055;A155;;Albi;Albi;CZ;079002
;A156;31/12/1989;;Albiano Magra;MS;045700
10010;A157;;Albiano d'Ivrea;Albiano d'Ivrea;TO;001004
38041;A158;;Albiano;Albiano;TN;022002
20847;A159;;Albiate;Albiate;MB;108003
87070;A160;;Albidona;Albidona;CS;078006
35020;A161;;Albignasego;Albignasego;PD;028003
42020;A162;;Albinea;Albinea;RE;035001
24021;A163;;Albino;Albino;BG;016004
22070;A164;;Albiolo;Albiolo;CO;013005
17012;A165;;Albissola Marina;Albissola Marina;SV;009003
17011;A166;;Albisola Superiore;Albisola Superiore;SV;009004
21041;A167;;Albizzate;Albizzate;VA;012002
;A168;31/12/1989;;Albogasio;CO;013705
;A169;31/12/1989;;Albogno;NO;003703
;A170;31/12/1989;;Albona;PL;702701
27020;A171;;Albonese;Albonese;PV;018003
23010;A172;;Albosaggia;Albosaggia;SO;014002
14022;A173;;Albugnano;Albugnano;AT;005002
;A174;31/12/1989;;Albusciago;MI;015702
27010;A175;;Albuzzano;Albuzzano;PV;018004
91011;A176;;Alcamo;Alcamo;TP;081001
98070;A177;;Alcara Li Fusi;Alcara Li Fusi;ME;083001
38060;A178;;Aldeno;Aldeno;TN;022003
39040;A179;;Aldein;Aldino;BZ;021001
09091;A180;;Ales;Ales;OR;095004
92010;A181;;Alessandria Della Rocca;Alessandria Della Rocca;AG;084002
15100;A182;;Alessandria;Alessandria;AL;006003
87070;A183;;Alessandria del Carretto;Alessandria del Carretto;CS;078007
73031;A184;;Alessano;Alessano;LE;075002
73011;A185;;Alezio;Alezio;LE;075003
84040;A186;;Alfano;Alfano;SA;065004
67030;A187;;Alfedena;Alfedena;AQ;066003
25020;A188;;Alfianello;Alfianello;BS;017004
15021;A189;;Alfiano Natta;Alfiano Natta;AL;006004
;A190;31/12/1989;;Alfiano Ed Uniti;CR;019701
48011;A191;;Alfonsine;Alfonsine;RA;039001
07041;A192;;Alghero;Alghero;SS;090003
24010;A193;;Algua;Algua;BG;016248
98020;A194;;Al�;Al�;ME;083002
90021;A195;;Alia;Alia;PA;082001
75010;A196;;Aliano;Aliano;MT;077002
15010;A197;;Alice Bel Colle;Alice Bel Colle;AL;006005
13040;A198;;Alice Castello;Alice Castello;VC;002004
10010;A199;31/12/2018;Alice Superiore;Alice Superiore;TO;001005
81011;A200;;Alife;Alife;CE;061002
98021;A201;;Al� Terme;Al� Terme;ME;083003
90020;A202;;Alimena;Alimena;PA;082002
90020;A203;;Aliminusa;Aliminusa;PA;082003
09080;A204;;Allai;Allai;OR;095005
11010;A205;;Allein;Allein;AO;007001
32022;A206;;Alleghe;Alleghe;BL;025003
05011;A207;;Allerona;Allerona;TR;055002
73040;A208;;Alliste;Alliste;LE;075004
;A209;31/12/1989;Allitz;Alliz;BZ;021702
00051;A210;;Allumiere;Allumiere;RM;058004
15040;A211;31/12/2017;Alluvioni Cambi�;Alluvioni Cambi�;AL;006006
;A212;31/12/1989;;Alma;CN;004701
;A213;31/12/1989;;Almazzago;TN;022701
24011;A214;;Alm�;Alm�;BG;016005
24018;A215;;Villa d'Alm�;Villa d'Alm�;BG;016239
24030;A216;;Almenno San Bartolomeo;Almenno San Bartolomeo;BG;016006
24031;A217;;Almenno San Salvatore;Almenno San Salvatore;BG;016007
10040;A218;;Almese;Almese;TO;001006
;A219;31/12/1989;;Alone;BS;017701
36045;A220;;Alonte;Alonte;VI;024003
10080;A221;;Alpette;Alpette;TO;001007
10091;A222;;Alpignano;Alpignano;TO;001008
29010;A223;;Alseno;Alseno;PC;033002
22040;A224;;Alserio;Alserio;CO;013006
70022;A225;;Altamura;Altamura;BA;072004
17041;A226;;Altare;Altare;SV;009005
15041;A227;;Altavilla Monferrato;Altavilla Monferrato;AL;006007
83011;A228;;Altavilla Irpina;Altavilla Irpina;AV;064002
90010;A229;;Altavilla Milicia;Altavilla Milicia;PA;082004
84045;A230;;Altavilla Silentina;Altavilla Silentina;SA;065005
36077;A231;;Altavilla Vicentina;Altavilla Vicentina;VI;024004
;A232;31/12/1989;;Alteta;AP;044700
63824;A233;;Altidona;Altidona;FM;109001
87040;A234;;Altilia;Altilia;CS;078008
66040;A235;;Altino;Altino;CH;069001
36070;A236;;Altissimo;Altissimo;VI;024005
31030;A237;;Altivole;Altivole;TV;026001
12070;A238;;Alto;Alto;CN;004005
90030;A239;;Altofonte;Altofonte;PA;082005
87042;A240;;Altomonte;Altomonte;CS;078009
55011;A241;;Altopascio;Altopascio;LU;046001
05020;A242;;Alviano;Alviano;TR;055003
81012;A243;;Alvignano;Alvignano;CE;061003
03041;A244;;Alvito;Alvito;FR;060004
15050;A245;;Alzano Scrivia;Alzano Scrivia;AL;006008
24022;A246;;Alzano Lombardo;Alzano Lombardo;BG;016008
;A247;31/12/1989;;Alzano Maggiore;BG;016702
;A248;31/12/1989;;Alzano Sopra;BG;016703
22040;A249;;Alzate Brianza;Alzate Brianza;CO;013007
;A250;31/12/1989;;Alzate Con Linduno;NO;003704
84011;A251;;Amalfi;Amalfi;SA;065006
63857;A252;;Amandola;Amandola;FM;109002
87032;A253;;Amantea;Amantea;CS;078010
33020;A254;;Amaro;Amaro;UD;030002
88050;A255;;Amaroni;Amaroni;CZ;079003
03021;A256;;Amaseno;Amaseno;FR;060005
88040;A257;;Amato;Amato;CZ;079004
02012;A258;;Amatrice;Amatrice;RI;057002
24030;A259;;Ambivere;Ambivere;BG;016009
38011;A260;31/12/2015;Amblar;Amblar;TN;022004
19031;A261;;Ameglia;Ameglia;SP;011001
05022;A262;;Amelia;Amelia;TR;055004
87071;A263;;Amendolara;Amendolara;CS;078011
28010;A264;;Ameno;Ameno;NO;003002
82031;A265;;Amorosi;Amorosi;BN;062002
32043;A266;;Cortina d'Ampezzo;Cortina d'Ampezzo;BL;025016
33021;A267;;Ampezzo;Ampezzo;UD;030003
80071;A268;;Anacapri;Anacapri;NA;063004
03012;A269;;Anagni;Anagni;FR;060006
64010;A270;;Ancarano;Ancarano;TE;067002
60100;A271;;Ancona;Ancona;AN;042002
88050;A272;;Andali;Andali;CZ;079005
23014;A273;;Andalo Valtellino;Andalo Valtellino;SO;014003
38010;A274;;Andalo;Andalo;TN;022005
10020;A275;;Andezeno;Andezeno;TO;001009
;A276;31/12/1989;;Andogno;TN;022702
;A277;31/12/1989;;Andonno;CN;004702
17051;A278;;Andora;Andora;SV;009006
;A279;31/12/1989;;Andorno Cacciorna;VC;002701
13811;A280;;Andorno Micca;Andorno Micca;BI;096002
73032;A281;;Andrano;Andrano;LE;075005
10010;A282;;Andrate;Andrate;TO;001010
33080;A283;;Andreis;Andreis;PN;093001
83040;A284;;Andretta;Andretta;AV;064003
76123;A285;;Andria;Andria;BT;110001
39010;A286;;Andrian;Andriano;BZ;021002
07010;A287;;Anela;Anela;SS;090004
25070;A288;;Anfo;Anfo;BS;017005
;A289;31/12/1989;;Anfurro;BS;017702
21021;A290;;Angera;Angera;VA;012003
52031;A291;;Anghiari;Anghiari;AR;051001
37050;A292;;Angiari;Angiari;VR;023003
25040;A293;;Angolo Terme;Angolo Terme;BS;017006
84012;A294;;Angri;Angri;SA;065007
10060;A295;;Angrogna;Angrogna;TO;001011
35022;A296;;Anguillara Veneta;Anguillara Veneta;PD;028004
00061;A297;;Anguillara Sabazia;Anguillara Sabazia;RM;058005
;A298;31/12/1989;;Anicova Corada;GO;031736
26021;A299;;Annicco;Annicco;CR;019003
14034;A300;;Castello di Annone;Castello di Annone;AT;005028
23841;A301;;Annone di Brianza;Annone di Brianza;LC;097003
30020;A302;;Annone Veneto;Annone Veneto;VE;027001
89020;A303;;Anoia;Anoia;RC;080003
24051;A304;;Antegnate;Antegnate;BG;016010
11020;A305;;Antey-Saint-Andr�;Antey-Saint-Andr�;AO;007002
39040;A306;;Altrei;Anterivo;BZ;021003
;A307;31/12/1989;Antholz;Anterselva;BZ;021703
11020;A308;;La Magdeleine;La Magdeleine;AO;007039
00022;A309;;Anticoli Corrado;Anticoli Corrado;RM;058006
03014;A310;;Fiuggi;Fiuggi;FR;060035
;A311;31/12/1989;;Antignana;PL;702702
14010;A312;;Antignano;Antignano;AT;005003
98030;A313;;Antillo;Antillo;ME;083004
89040;A314;;Antonimina;Antonimina;RC;080004
02013;A315;;Antrodoco;Antrodoco;RI;057003
;A316;31/12/1989;;Antronapiana;NO;003705
28841;A317;;Antrona Schieranco;Antrona Schieranco;VB;103001
67030;A318;;Anversa Degli Abruzzi;Anversa Degli Abruzzi;AQ;066004
22040;A319;;Anzano del Parco;Anzano del Parco;CO;013009
71020;A320;;Anzano di Puglia;Anzano di Puglia;FG;071003
85010;A321;;Anzi;Anzi;PZ;076004
;A322;31/12/1989;;Anzino;NO;003706
00042;A323;;Anzio;Anzio;RM;058007
40011;A324;;Anzola Dell'Emilia;Anzola Dell'Emilia;BO;037001
28877;A325;;Anzola d'Ossola;Anzola d'Ossola;VB;103002
11100;A326;;Aosta;Aosta;AO;007003
61042;A327;;Apecchio;Apecchio;PU;041002
82021;A328;;Apice;Apice;BN;062003
62021;A329;;Apiro;Apiro;MC;043002
82030;A330;;Apollosa;Apollosa;BN;062004
;A331;31/12/1989;;Apparizione;GE;010700
39057;A332;;Eppan an der Weinstra�e;Appiano sulla Strada del Vino;BZ;021004
22070;A333;;Appiano Gentile;Appiano Gentile;CO;013010
62010;A334;;Appignano;Appignano;MC;043003
63083;A335;;Appignano del Tronto;Appignano del Tronto;AP;044005
;A336;31/12/1989;;Apriano;FU;701716
23031;A337;;Aprica;Aprica;SO;014004
18035;A338;;Apricale;Apricale;IM;008002
71011;A339;;Apricena;Apricena;FG;071004
87051;A340;;Aprigliano;Aprigliano;CS;078012
04011;A341;;Aprilia;Aprilia;LT;059001
;A342;31/12/1989;;Apuania;MS;045701
84020;A343;;Aquara;Aquara;SA;065008
18020;A344;;Aquila d'Arroscia;Aquila d'Arroscia;IM;008003
67100;A345;;L'Aquila;L'Aquila;AQ;066049
33051;A346;;Aquileia;Aquileia;UD;030004
83041;A347;;Aquilonia;Aquilonia;AV;064004
03031;A348;;Aquino;Aquino;FR;060007
;A349;31/12/1989;;Ara;NO;003707
73040;A350;;Aradeo;Aradeo;LE;075006
92021;A351;;Aragona;Aragona;AG;084003
14020;A352;;Aramengo;Aramengo;AT;005004
;A353;31/12/1989;;Aranco;VC;002702
33090;A354;;Arba;Arba;PN;093002
08048;A355;;Tortol�;Tortol�;NU;091095
;A356;31/12/1989;;Arbizzo;VA;012701
09092;A357;;Arborea;Arborea;OR;095006
13031;A358;;Arborio;Arborio;VC;002006
;A359;;Arbus;Arbus;SU;111001
31030;A360;;Arcade;Arcade;TV;026002
;A361;31/12/1989;;Arcagna;MI;015703
;A362;31/12/1989;;Arcagnano;MI;015704
03032;A363;;Arce;Arce;FR;060008
;A364;31/12/1989;;Arcellasco;CO;013706
24040;A365;;Arcene;Arcene;BG;016011
60011;A366;;Arcevia;Arcevia;AN;042003
66044;A367;;Archi;Archi;CH;069002
09097;A368;;San Nicol� d'Arcidano;San Nicol� d'Arcidano;OR;095046
58031;A369;;Arcidosso;Arcidosso;GR;053001
00020;A370;;Arcinazzo Romano;Arcinazzo Romano;RM;058008
21051;A371;;Arcisate;Arcisate;VA;012004
38062;A372;;Arco;Arco;TN;022006
19021;A373;;Arcola;Arcola;SP;011002
37040;A374;;Arcole;Arcole;VR;023004
20020;A375;;Arconate;Arconate;MI;015007
20862;A376;;Arcore;Arcore;MB;108004
36057;A377;;Arcugnano;Arcugnano;VI;024006
